Medical School,count,Matriculants,Affiliated Program,State,Ratio
SUNY Down,42,207.0,SUNY Downstate Health Sciences University Program,NY,4.057971014492754
UCLA,34,175.0,UCLA David Geffen School of Medicine/UCLA Medical Center Program,CA,3.8857142857142852
NW,27,145.0,McGaw Medical Center of Northwestern University Program,IL,3.724137931034483
Michigan,30,164.0,University of Michigan Health System Program,MI,3.658536585365854
MD,23,147.0,University of Maryland Program,MD,3.129251700680272
Hopkins,18,120.0,Johns Hopkins University Program,MD,3.0
Vanderbilt,14,95.0,Vanderbilt University Medical Center Program,TN,2.947368421052631
Cornell,15,106.0,New York Presbyterian Hospital (Cornell Campus) Program,NY,2.830188679245283
Case,30,216.0,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,OH,2.7777777777777777
Columbia,19,138.0,New York Presbyterian Hospital (Columbia Campus) Program,NY,2.7536231884057973
FU,18,135.0,University of Florida Program,FL,2.666666666666667
Rutgers,23,174.0,Rutgers Health/New Jersey Medical School Program,NJ,2.6436781609195403
BU,19,146.0,Boston University Medical Center Program,MA,2.602739726027397
S AL,10,78.0,USA Health Program,AL,2.564102564102564
Einstein,23,183.0,Montefiore Medical Center/Albert Einstein College of Medicine Program,NY,2.5136612021857925
USC,23,186.0,University of Southern California/LAC+USC Medical Center Program,CA,2.4731182795698925
SLU,22,178.0,St Louis University School of Medicine Program,MO,2.4719101123595504
UTA,6,50.0,,TX,2.4
Albany,17,143.0,Albany Medical Center Program,NY,2.3776223776223775
SBU,16,136.0,Stony Brook Medicine/University Hospital Program,NY,2.352941176470588
Puerto Rico,12,102.0,University of Puerto Rico Program,PR,2.352941176470588
Jeff,32,272.0,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,PA,2.352941176470588
MCG,31,264.0,Medical College of Georgia Program,GA,2.3484848484848486
FIU,14,121.0,Mount Sinai Medical Center of Florida Program,FL,2.31404958677686
Yale,12,105.0,Yale-New Haven Medical Center Program,CT,2.2857142857142856
Nebraska,15,132.0,University of Nebraska Medical Center College of Medicine Program,NE,2.2727272727272725
NYMC,25,220.0,Westchester Medical Center Program,NY,2.2727272727272725
MO Columbia,14,128.0,University of Missouri-Columbia Program,MO,2.1875
KS,23,211.0,University of Kansas School of Medicine Program,KS,2.1800947867298577
Sinai,13,120.0,Icahn School of Medicine at Mount Sinai Program,NY,2.166666666666667
Penn,17,157.0,University of Pennsylvania Health System Program,PA,2.1656050955414012
Pitt,16,148.0,UPMC Medical Education Program,PA,2.1621621621621623
UNC,22,204.0,University of North Carolina Hospitals Program,NC,2.1568627450980395
CT,12,112.0,University of Connecticut Program,CT,2.142857142857143
Harvard,17,163.0,Mass General Brigham/Massachusetts General Hospital/Harvard Medical School Program,MA,2.085889570552147
Oakland,13,125.0,Corewell Health East Beaumont (Royal Oak) Program,MI,2.08
SIU,8,80.0,Southern Illinois University Program,IL,2.0
Georgetown,20,201.0,MedStar Health/Georgetown University Hospital Program,DC,1.9900497512437814
UCSF,17,173.0,University of California (San Francisco) Program,CA,1.9653179190751444
Wright,12,126.0,,OH,1.9047619047619047
Duke,11,118.0,Duke University Hospital Program,NC,1.8644067796610169
TN,16,173.0,University of Tennessee Program,TN,1.8497109826589593
IA,14,152.0,University of Iowa Hospitals and Clinics Program,IA,1.8421052631578945
Hofstra,9,99.0,Zucker School of Medicine at Hofstra/Northwell at Lenox Hill Hospital Program,NY,1.8181818181818183
UTSA,21,232.0,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,TX,1.8103448275862069
WVU,10,112.0,West Virginia University Program,WV,1.7857142857142858
Tech,16,181.0,Texas Tech University Health Sciences Center at Lubbock Program,TX,1.767955801104972
MCW,23,264.0,Medical College of Wisconsin Affiliated Hospitals Program,WI,1.7424242424242427
Rush,12,141.0,Rush University Medical Center Program,IL,1.702127659574468
Tufts,17,202.0,,MA,1.6831683168316833
Mayo,9,108.0,Mayo Clinic College of Medicine and Science (Rochester) Program,MN,1.6666666666666665
CO,15,181.0,University of Colorado Program,CO,1.6574585635359114
Penn State,12,145.0,Penn State Milton S Hershey Medical Center Program,PA,1.6551724137931036
MUSC,14,172.0,Medical University of South Carolina Program,SC,1.627906976744186
OSU,16,198.0,Ohio State University Hospital Program,OH,1.6161616161616164
NYU,8,100.0,NYU Grossman School of Medicine Program,NY,1.6
LSU S,12,150.0,Louisiana State University (Shreveport) Program,LA,1.6
Rutgers RWJ,13,165.0,Rutgers Health/Robert Wood Johnson Medical School Program,NJ,1.5757575757575757
Stanford,7,89.0,Stanford Health Care-Sponsored Stanford University Program,CA,1.5730337078651684
ECU,7,90.0,,NC,1.5555555555555556
UTSW,18,232.0,University of Texas Southwestern Medical Center Program,TX,1.5517241379310345
IN,28,364.0,Indiana University School of Medicine Program,IN,1.5384615384615385
Rochester,8,104.0,University of Rochester Program,NY,1.5384615384615385
Dartmouth,7,92.0,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,NH,1.5217391304347827
UVA,12,158.0,University of Virginia Medical Center Program,VA,1.518987341772152
NM,7,93.0,University of New Mexico School of Medicine Program,NM,1.5053763440860215
UCF,9,120.0,,FL,1.5
UTH,18,240.0,University of Texas Health Science Center at Houston Program,TX,1.5
Cincy,13,177.0,University of Cincinnati Medical Center/College of Medicine Program,OH,1.4689265536723164
UW,20,273.0,University of Washington Program,WA,1.4652014652014653
SC Greenville,8,110.0,,SC,1.4545454545454546
Wayne,22,305.0,Wayne State University School of Medicine Program,MI,1.4426229508196724
LSU NO,14,195.0,Louisiana State University School of Medicine Program,LA,1.4358974358974357
USF,13,182.0,University of South Florida Morsani Program,FL,1.4285714285714284
NEO,12,174.0,Akron General Medical Center/NEOMED Program,OH,1.379310344827586
UChicago,6,88.0,University of Chicago Program,IL,1.3636363636363635
Louisville,11,163.0,University of Louisville School of Medicine Program,KY,1.3496932515337423
C Michigan,7,104.0,,MI,1.3461538461538463
Buffalo,12,184.0,University at Buffalo Program,NY,1.3043478260869565
VCU,12,184.0,Virginia Commonwealth University Health System Program,VA,1.3043478260869565
Loyola,11,170.0,Loyola University Medical Center Program,IL,1.2941176470588238
Miami,13,201.0,University of Miami/Jackson Health System Program,FL,1.2935323383084576
Quinnipiac,6,95.0,,CT,1.263157894736842
Arkansas,11,175.0,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,AR,1.2571428571428573
Baylor,14,226.0,Baylor College of Medicine Program,TX,1.238938053097345
Illinois,18,291.0,University of Illinois College of Medicine at Chicago Program,IL,1.2371134020618557
GW,11,179.0,George Washington University Program,DC,1.2290502793296088
Miss,10,165.0,University of Mississippi Medical Center Program,MS,1.2121212121212122
EVMS,9,151.0,Eastern Virginia Medical School Program at Old Dominion University,VA,1.1920529801324504
FSU,7,120.0,,FL,1.1666666666666665
Emory,8,139.0,Emory University School of Medicine Program,GA,1.1510791366906477
Oklahoma,10,176.0,University of Oklahoma Health Sciences Center Program,OK,1.1363636363636362
UTRGV,3,53.0,University of Texas Rio Grande Valley Program,TX,1.1320754716981134
Utah,7,125.0,University of Utah Health Program,UT,1.12
A&M,11,199.0,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,TX,1.105527638190955
UMass,11,200.0,UMass Chan Medical School Program,MA,1.1
ND,4,74.0,,ND,1.0810810810810811
AL,10,186.0,University of Alabama Medical Center Program,AL,1.075268817204301
Wisconsin,9,171.0,University of Wisconsin Hospitals and Clinics Program,WI,1.0526315789473684
Geisinger,6,115.0,Geisinger Health System Program,PA,1.0434782608695652
Caribe,4,77.0,,PR,1.0389610389610389
SUNY Up,9,175.0,SUNY Upstate Medical University Program,NY,1.0285714285714285
US,9,176.0,,MD,1.022727272727273
WSU,4,80.0,,WA,1.0
MN,12,241.0,University of Minnesota Program,MN,0.995850622406639
UCSD,7,141.0,University of California (San Diego) Medical Center Program,CA,0.9929078014184398
Tulane,9,190.0,Tulane University Program,LA,0.9473684210526316
Howard,6,127.0,,DC,0.9448818897637794
Carle,3,64.0,,IL,0.9375
Loma Linda,8,176.0,Loma Linda University Health Education Consortium Program,CA,0.9090909090909092
UCI,5,114.0,University of California (Irvine) Program,CA,0.8771929824561402
UTMB,10,230.0,University of Texas Medical Branch Hospitals Program,TX,0.8695652173913043
SD,3,71.0,,SD,0.8450704225352113
NYU LI,1,24.0,NYU Grossman Long Island School of Medicine Program,NY,0.8333333333333333
Brown,6,144.0,Brown University Program,RI,0.8333333333333333
Vermont,5,122.0,University of Vermont Medical Center Program,VT,0.8196721311475409
WashU,5,124.0,Washington University/B-JH/SLCH Consortium Program,MO,0.8064516129032258
VT,2,50.0,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,VA,0.8
Kaiser,2,50.0,Kaiser Permanente Southern California (Los Angeles) Program,CA,0.8
Oregon,6,150.0,Oregon Health and Science University (OHSU Health) Program,OR,0.8
Chicago,8,201.0,,IL,0.7960199004975125
Creighton,10,253.0,Creighton University School of Medicine (Omaha) Program,NE,0.790513833992095
FAU,3,76.0,,FL,0.7894736842105263
Morehouse,4,110.0,,GA,0.7272727272727273
Drexel,11,304.0,Allegheny Health Network Medical Education Consortium Program,PA,0.7236842105263158
Temple,8,222.0,Temple University Hospital Program,PA,0.7207207207207207
Rowan,4,112.0,Cooper Medical School of Rowan University/Cooper University Hospital Program,NJ,0.7142857142857142
W Michigan,3,84.0,,MI,0.7142857142857142
Hackensack,5,162.0,Hackensack University Medical Center Program,NJ,0.6172839506172839
SC Columbia,3,100.0,,SC,0.6
UCD,4,137.0,University of California Davis Health Program,CA,0.583941605839416
Toledo,5,175.0,University of Toledo Program,OH,0.5714285714285714
Nevada,2,70.0,,NV,0.5714285714285714
Michigan State,5,189.0,,MI,0.5291005291005291
AZ Phoenix,3,120.0,Mayo Clinic College of Medicine and Science (Arizona) Program,AZ,0.5
KY,5,201.0,University of Kentucky College of Medicine Program,KY,0.49751243781094534
Mercer,4,170.0,,GA,0.47058823529411764
Nova Southeastern,1,53.0,,FL,0.37735849056603776
AZ,2,118.0,University of Arizona College of Medicine-Tucson Program,AZ,0.3389830508474576
Cal Northstate,2,119.0,,CA,0.33613445378151263
TCU,1,60.0,,TX,0.33333333333333337
Drew,1,61.0,,CA,0.3278688524590164
San Juan,1,64.0,,PR,0.3125
MO Kansas City,2,136.0,,MO,0.2941176470588235
Marshall,1,72.0,Charleston Area Medical Center/CAMC Institute for Academic Medicine Program,WV,0.2777777777777778
Wake,2,145.0,Wake Forest University School of Medicine Program,NC,0.27586206896551724
CUNY,1,75.0,,NY,0.2666666666666667
East TN,1,77.0,,TN,0.2597402597402597
Ponce,2,180.0,Hospital Episcopal San Lucas Program,PR,0.22222222222222224
Cal,1,129.0,,CA,0.15503875968992248
